word,category,AA score,EA score,AA:EA,EA:AA
carpenter,low-pay,0.08076392240413809,0.0813375368265113,0.9929477281369277,1.0071023596340813
clerk,low-pay,0.07863782256971084,0.0780171355644057,1.0079557779302566,0.9921070168905692
driver,low-pay,0.07531194741459803,0.07333385067938951,1.0269738560962334,0.973734622418951
mechanic,low-pay,0.07438852246053669,0.07342276990355796,1.0131533114079905,0.9870174520875709
receptionist,low-pay,0.06673254941170319,0.06690302514376023,0.997451898001761,1.002554611408674
cashier,low-pay,0.05918333856309681,0.04888861719389552,1.2105750164372973,0.8260537235792159
hairdresser,low-pay,0.05453846544559367,0.051718689718477075,1.0545214069123874,0.9482974868456917
lawyer,high-pay,0.07919262306124261,0.07961442924988897,0.9947018876776417,1.0053263318266419
manager,high-pay,0.0789463168865167,0.08463229137700536,0.9328155435948229,1.0720233028560675
physician,high-pay,0.0738192001190265,0.075612788729573,0.9762792955969232,1.0242970474843198
designer,high-pay,0.07283972447202089,0.07256181766480785,1.0038299317210713,0.9961846806913748
nurse,high-pay,0.06983159398595871,0.07053091559149975,0.9900848925655331,1.0100144012992407
salesperson,high-pay,0.06903647995101245,0.06565779214205715,1.0514590530495629,0.9510593846709338
ceo,high-pay,0.06677749325484468,0.07776834021517073,0.8586719617531197,1.1645890916926367
