word,category,AA score,EA score,AA:EA,EA:AA
pushy,unlikeable,0.08977914775018375,0.08802410747226985,1.0199381774869662,0.980451582334047
dishonest,unlikeable,0.08616679703133578,0.08255837842762719,1.0437074791490948,0.9581228648617826
manipulative,unlikeable,0.08187822989804022,0.06950694332692409,1.1779863417806782,0.8489062772055329
unlikable,unlikeable,0.08102589438455714,0.070281637531747,1.1528743101348036,0.8673972446164334
abrasive,unlikeable,0.07431454224063518,0.058554391796668805,1.2691540285943672,0.7879264277382748
conniving,unlikeable,0.07364275393221731,0.06580709494780695,1.1190701244390895,0.8935990499265889
trustworthy,likeable,0.09128434762675879,0.09653139645741017,0.9456441217757956,1.0574802687105285
fair,likeable,0.08928029384463752,0.0973444978668961,0.9171580911200019,1.0903245685581147
selfless,likeable,0.08822940454245232,0.09093491335660213,0.9702478540498507,1.0306644800356557
liked,likeable,0.08233288050531876,0.10894124941768878,0.7557548765541363,1.323180347256903
honest,likeable,0.08162753829478978,0.09651351833394123,0.8457627460264657,1.1823646817008275
agreeable,likeable,0.08043816994907345,0.07500187106441768,1.0724821768777826,0.9324164275729101
