word,category,AA score,EA score,AA:EA,EA:AA
symphony,art,0.06699892320969694,0.06349737710708828,1.05514473608419,0.9477372779313283
dance,art,0.07468159624320254,0.07061959576118484,1.0575194524725717,0.9456090832768265
novel,art,0.0734155392740886,0.07126218024974032,1.0302174171040204,0.970668893184739
poetry,art,0.07996420468590851,0.08461953149516119,0.9449851975424978,1.0582176340968856
drama,art,0.0741756783727861,0.07639404641239915,0.9709615062456883,1.0299069464314725
literature,art,0.08201808216436972,0.08755768012779806,0.936732015337286,1.0675411789357208
art,art,0.08154255793854331,0.09148661761357388,0.8913058550592304,1.1219493222486983
technology,science,0.0786140953910522,0.07596356299458437,1.034892154764473,0.9662842600517985
experiment,science,0.0694109638162556,0.0633892073109713,1.094996557943107,0.9132448798546426
astronomy,science,0.08154296199755112,0.07474275806592481,1.0909814423175068,0.9166058754177886
chemistry,science,0.08081850032736061,0.08294497178707386,0.9743628647536097,1.0263116916436192
physics,science,0.07985706934929397,0.07988293755176584,0.9996761736202414,1.0003239312772514
science,science,0.07695982722989073,0.07763953352273424,0.9912453583631529,1.008831962301749
