word,category,AA score,EA score,AA:EA,EA:AA
poison,unpleasant,0.034232213021734244,0.030437548092025434,1.1246705193938733,0.8891492955100637
jail,unpleasant,0.03182210644720407,0.025974660809182613,1.2251211548431176,0.81624580234112
divorce,unpleasant,0.030619746739639127,0.028589712282847294,1.0710057672741875,0.9337017881286448
sickness,unpleasant,0.030400244583409675,0.02845210677901288,1.068470775100345,0.9359170351721462
assault,unpleasant,0.03559604871504688,0.03435015701766411,1.036270334855881,0.9649991574245679
abuse,unpleasant,0.033811347889415824,0.033628767229614734,1.005429299818053,0.9946000183015997
bomb,unpleasant,0.03269581242104545,0.03000832997021844,1.0895578812114566,0.9178034661987127
death,unpleasant,0.032433630061957056,0.03229197995261669,1.0043865414740196,0.9956326162359942
murder,unpleasant,0.031603725196644915,0.03094309696187147,1.0213497774830838,0.9790965074318652
disaster,unpleasant,0.029577974493292726,0.02839477475680263,1.0416696292407333,0.9599972696995054
cancer,unpleasant,0.02937669420181923,0.028168524335436453,1.0428907759595656,0.9588731850465341
crash,unpleasant,0.02849775106800582,0.0270719218295437,1.0526681942803968,0.9499669558113697
stink,unpleasant,0.02704517828828729,0.024842098354013697,1.088683327103793,0.9185407501925139
poverty,unpleasant,0.03625643385273012,0.03594161785593303,1.0087590936517936,0.991316961892175
hatred,unpleasant,0.03234730705947292,0.03214057735826437,1.0064320469076884,0.9936090599186987
friend,pleasant,0.03129430970436246,0.03281176419225813,0.9537527309106495,1.0484897894291672
family,pleasant,0.0312661514556088,0.030868525401301625,1.0128812779080925,0.9872825392382648
gift,pleasant,0.031181419923661236,0.03120463425157101,0.9992560615284698,1.0007444923280149
miracle,pleasant,0.030885585743958402,0.03025991890747603,1.0206764214535882,0.9797424325486603
honor,pleasant,0.029463136296429805,0.02937553820134023,1.0029820081759584,0.997026857758514
freedom,pleasant,0.03710732088651782,0.038180606431088275,0.971889248367293,1.0289238220094843
health,pleasant,0.03649223616852789,0.03764561075528806,0.9693623090814604,1.031606026592442
cheer,pleasant,0.03421640000498981,0.03643170958695926,0.9391928183693465,1.064744087094095
pleasure,pleasant,0.03388036264723534,0.036582141869869016,0.9261448596354878,1.0797446960873704
peace,pleasant,0.03370543586923569,0.03582800912238598,0.9407565950455208,1.0629742116786463
love,pleasant,0.03185719263199256,0.03215307940087015,0.9907975604703797,1.0092879109686659
laughter,pleasant,0.029225693551407323,0.0322646703921987,0.9058110061609006,1.1039830529751462
gentle,pleasant,0.036966633867600046,0.039818952488114345,0.9283678137599001,1.0771592737042324
loyal,pleasant,0.036510707756459336,0.03929805377427638,0.9290716524073369,1.0763432480249282
happy,pleasant,0.030874250128368783,0.035560779216527526,0.8682107312772103,1.1517941024858294
honest,pleasant,0.028756949323939206,0.030480132423427904,0.9434653670282545,1.059922319300198
