word,category,AA score,EA score,AA:EA
carpenter,low-pay,0.08075931054716307,0.08133582925718086,0.9929118727222309
clerk,low-pay,0.0786333321192755,0.07801549770231722,1.00791938057379
driver,low-pay,0.07530764688139399,0.07333231113640372,1.0269367719955804
mechanic,low-pay,0.07438427465760737,0.07342122849383577,1.013116726368212
receptionist,low-pay,0.06672873878730179,0.06690162060708127,0.9974158799411628
cashier,low-pay,0.0591799590207884,0.04890858446473339,1.2100116915765864
hairdresser,low-pay,0.05459245407372074,0.051717603955964225,1.0555874576131632
lawyer,high-pay,0.07918810093007113,0.07961275785482402,0.9946659689201162
manager,high-pay,0.07894180882015059,0.08463051463885028,0.9327818595576843
physician,high-pay,0.07381498482607358,0.07561120134342805,0.9762440420805377
designer,high-pay,0.07283556511000175,0.0725602943295897,1.0037936833492114
nurse,high-pay,0.06982760639701784,0.07052943489226775,0.9900491405280372
salesperson,high-pay,0.06903253776541626,0.06565641374732649,1.0514210847866672
ceo,high-pay,0.06677368006401796,0.07776670757619725,0.8586409550461152
